name,short_name,college_type,state,city,address,nirf_rank,nirf_score,nirf_year,naac_grade,annual_fees_min,annual_fees_max,placement_percentage,avg_package_lpa,highest_package_lpa,hostel_available,boys_hostel,girls_hostel,affiliated_university,autonomous,official_website,branches,facilities,top_recruiters,description,total_seats
"Jawaharlal Nehru Technological University Hyderabad","JNTU Hyderabad",Government,Telangana,Hyderabad,"Kukatpally, Hyderabad 500085",75,44.52,2024,A,45000,65000,72.0,5.5,22.0,Yes,Yes,Yes,Autonomous,Yes,https://www.jntuh.ac.in,"Computer Science Engineering,Electronics and Communication Engineering,Mechanical Engineering,Electrical and Electronics Engineering,Civil Engineering,Information Technology","Library,Hostel (Boys),Hostel (Girls),Computer Lab,Cafeteria / Canteen,Wi-Fi Campus","TCS,Infosys,Wipro,Tech Mahindra,HCL,Cognizant","State technical university affiliated with 500+ engineering colleges in Telangana.",2000
"Osmania University College of Engineering","OU College of Engineering",Government,Telangana,Hyderabad,"Amberpet, Hyderabad 500007",80,42.18,2024,A,18000,25000,70.0,5.2,20.0,Yes,Yes,No,Osmania University,No,https://www.osmania.ac.in,"Computer Science Engineering,Electronics and Communication Engineering,Mechanical Engineering,Electrical and Electronics Engineering,Civil Engineering,Chemical Engineering","Library,Hostel (Boys),Computer Lab,Cafeteria / Canteen,Medical Center","TCS,Infosys,BHEL,DRDO,ISRO,L&T","Historic engineering college established in 1929, affiliated with Osmania University.",960
"Andhra University College of Engineering","AU College of Engineering",Government,"Andhra Pradesh",Visakhapatnam,"Waltair, Visakhapatnam 530003",85,40.45,2024,A,18000,22000,68.0,5.0,18.0,Yes,Yes,Yes,"Andhra University",No,https://www.andhrauniversity.edu.in,"Computer Science Engineering,Electronics and Communication Engineering,Mechanical Engineering,Electrical and Electronics Engineering,Civil Engineering","Library,Hostel (Boys),Hostel (Girls),Computer Lab,Cafeteria / Canteen","TCS,Infosys,BHEL,VIZAG Steel,Naval Dockyard","Established engineering college in the coastal region of Andhra Pradesh.",800
"R.V. College of Engineering","RVCE",Private,Karnataka,Bengaluru,"Mysuru Rd, Bengaluru 560059",44,54.38,2024,A+,145000,175000,87.0,9.5,42.0,Yes,Yes,Yes,VTU,Yes,https://www.rvce.edu.in,"Computer Science Engineering,Electronics and Communication Engineering,Mechanical Engineering,Electrical and Electronics Engineering,Civil Engineering,Information Technology","Library,Hostel (Boys),Hostel (Girls),Sports Complex,Computer Lab,Cafeteria / Canteen,Wi-Fi Campus","Infosys,TCS,Wipro,Amazon,Flipkart,Google,Microsoft","Premier private engineering college in Bengaluru with strong industry tie-ups.",3500
"PSG College of Technology","PSG Tech",Private,Tamil Nadu,Coimbatore,"Peelamedu, Coimbatore 641004",51,52.15,2024,A+,90000,120000,84.0,8.2,35.0,Yes,Yes,Yes,Anna University,Yes,https://www.psgtech.edu,"Computer Science Engineering,Electronics and Communication Engineering,Mechanical Engineering,Production Engineering,Information Technology","Library,Hostel (Boys),Hostel (Girls),Sports Complex,Computer Lab,Research Center,Cafeteria / Canteen,Wi-Fi Campus","TCS,Infosys,Wipro,HCL,Zoho,KGISL","Autonomous engineering college with strong placement record and industry collaboration.",4000
"Maulana Azad National Institute of Technology","MANIT Bhopal",Government,"Madhya Pradesh",Bhopal,"Link Road 3, Bhopal 462003",30,61.25,2024,A+,65000,80000,82.0,7.8,30.0,Yes,Yes,Yes,Autonomous,Yes,https://www.manit.ac.in,"Computer Science Engineering,Electronics and Communication Engineering,Mechanical Engineering,Electrical and Electronics Engineering,Civil Engineering,Chemical Engineering","Library,Hostel (Boys),Hostel (Girls),Sports Complex,Computer Lab,Cafeteria / Canteen,Medical Center,Wi-Fi Campus","TCS,Infosys,Wipro,BHEL,DRDO,L&T","NIT with strong research programs and excellent government sector placements.",1500
"National Institute of Technology Karnataka","NITK Surathkal",Government,Karnataka,Surathkal,"Srinivasanagar, Mangalore 575025",14,69.42,2024,A+,95000,115000,86.0,9.8,40.0,Yes,Yes,Yes,Autonomous,Yes,https://www.nitk.ac.in,"Computer Science Engineering,Electronics and Communication Engineering,Mechanical Engineering,Electrical and Electronics Engineering,Civil Engineering,Chemical Engineering,Mining Engineering","Library,Hostel (Boys),Hostel (Girls),Sports Complex,Computer Lab,Research Center,Cafeteria / Canteen,Medical Center,Wi-Fi Campus,Swimming Pool","Amazon,Microsoft,Goldman Sachs,Infosys,TCS,KPMG","Coastal NIT with excellent placements in IT and core engineering sectors.",1400
"Thapar Institute of Engineering and Technology","Thapar University",Deemed,Punjab,Patiala,"Bhadson Rd, Patiala 147004",36,56.82,2024,A,175000,210000,88.0,9.0,38.0,Yes,Yes,Yes,Autonomous,Yes,https://www.thapar.edu,"Computer Science Engineering,Electronics and Communication Engineering,Mechanical Engineering,Electrical and Electronics Engineering,Chemical Engineering,Biotechnology","Library,Hostel (Boys),Hostel (Girls),Sports Complex,Computer Lab,Cafeteria / Canteen,Medical Center,Wi-Fi Campus","Amazon,Microsoft,Infosys,TCS,Wipro,Google","Deemed university with strong industry connections in North India.",2500
"Amrita Vishwa Vidyapeetham","Amrita University",Deemed,Kerala,Coimbatore,"Ettimadai, Coimbatore 641112",16,67.48,2024,A+,155000,195000,83.0,8.0,35.0,Yes,Yes,Yes,Autonomous,Yes,https://www.amrita.edu,"Computer Science Engineering,Electronics and Communication Engineering,Mechanical Engineering,Electrical and Electronics Engineering,Civil Engineering,Artificial Intelligence and Machine Learning","Library,Hostel (Boys),Hostel (Girls),Sports Complex,Computer Lab,Research Center,Cafeteria / Canteen,Medical Center,Wi-Fi Campus","TCS,Infosys,Wipro,Amazon,Cognizant,Capgemini","Multi-campus deemed university with strong research and international collaborations.",4500
"Delhi Technological University","DTU",Government,Delhi,Delhi,"Bawana Rd, Rohini, Delhi 110042",35,57.15,2024,A+,85000,110000,85.0,9.2,40.0,Yes,Yes,Yes,Autonomous,Yes,https://www.dtu.ac.in,"Computer Science Engineering,Electronics and Communication Engineering,Mechanical Engineering,Electrical and Electronics Engineering,Civil Engineering,Information Technology,Biotechnology","Library,Hostel (Boys),Hostel (Girls),Sports Complex,Computer Lab,Cafeteria / Canteen,Medical Center,Wi-Fi Campus,Auditorium","Amazon,Microsoft,Infosys,Wipro,Flipkart,Paytm,Google","State government engineering university in Delhi with excellent placements.",3000
